state,totalHospitalizations
NY,16247349.0
FL,4138281.0
NJ,2923939.0
GA,2810483.0
MD,1975471.0
VA,1967813.0
MA,1924565.0
AZ,1912995.0
CT,1764501.0
OH,1688814.0
AL,1380709.0
IN,1347720.0
CO,1003755.0
SC,806691.0
MN,802295.0
WA,787899.0
WI,747649.0
TN,746284.0
MS,648350.0
KY,576637.0
OK,510125.0
AR,428888.0
NM,380184.0
RI,355963.0
UT,346588.0
KS,277820.0
OR,257262.0
NE,221974.0
ID,138200.0
SD,133834.0
NH,102319.0
ND,65187.0
ME,61787.0
HI,49521.0
MT,45534.0
WY,26831.0
PA,7233.0
IA,1696.0
AK,688.0
WV,506.0
VT,473.0
MP,376.0
LA,
DC,
MI,
NV,
CA,
NC,
DE,
MO,
VI,
IL,
GU,
TX,
AS,
PR,
