state,maxTestIncrease
CA,187926
TX,154848
IL,149499
KY,148313
NY,145811
MO,113818
NJ,113486
MA,101826
FL,98708
PR,79467
MI,74433
OH,74262
CT,72030
MS,69454
AR,57071
LA,55947
TN,54879
SC,45756
GA,45506
OK,42667
NC,42330
WA,39983
VA,36769
MN,34867
IN,32004
PA,28915
CO,27618
AK,25625
AL,23846
AZ,23844
MT,22924
MD,20976
RI,20947
KS,20642
WI,18180
ME,17341
NM,14138
OR,12408
UT,11846
IA,11762
NH,10991
HI,10725
WV,10383
NE,9965
NV,9828
ND,9699
DC,8461
ID,8188
SD,7303
DE,5352
WY,4506
VT,3425
MP,2547
GU,1075
VI,768
AS,522
